ASV,Name,Completeness,Contamination,16S_identity（%）,taxonomy,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size(bp),predicted_genome_size(Mb),GC_Content,Total_Coding_Sequences
ASV_2405,GCA_008671725.1,90.4 ,0,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter_saccharivorans_[location=10330..11301]_[ssu_len=972]_[contig_len=11302],0.886,37681,334.2843373,2813105,3.1 ,0.49,2490
ASV_15011,GCF_000171855.1,90.5 ,0.63,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A_jeotgali_[location=62260..63818]_[ssu_len=1559]_[contig_len=141653],0.847,76831,295.9888508,2442118,2.7 ,0.35,2332
ASV_6484,GCA_020029335.1,90.5 ,1.03,99.5 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__FEN-1191_sp020029535_[location=51270..52467]_[ssu_len=1198]_[contig_len=53562],0.929,26983,311.191635,2635615,2.9 ,0.64,2630
ASV_14103,GCA_016708085.1,90.5 ,0.7,99.7 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter_sp016703625_[location=81781..83306]_[ssu_len=1526]_[contig_len=235796],0.87,274021,284.542498,3580314,3.9 ,0.42,3659
ASV_2883,GCA_020697055.1,90.6 ,0.58,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Panacagrimonas;s__Panacagrimonas_sp020697055_[location=4..1126]_[ssu_len=1123]_[contig_len=31705],0.922,111720,331.8901734,4661051,5.1 ,0.68,4325
ASV_2617,GCA_020028475.1,90.6 ,1.67,100.0 ,d__Bacteria;p__CSP1-3;c__CSP1-3;o__CSP1-3;f__13-1-40CM-64-14;g__JACPRY01;s__JACPRY01_sp020028455_[location=1..899]_[ssu_len=899]_[contig_len=20930],0.921,11675,283.9875138,2510981,2.7 ,0.62,2723
ASV_388,GCF_014489515.1,90.6 ,1.14,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__Sphingomicrobium_sediminicola_[location=2578951..2580433]_[ssu_len=1483]_[contig_len=2757025],0.899,2757025,252.8334348,2757025,3.0 ,0.63,3284
ASV_2995,GCA_004193325.1,90.6 ,7.64,100.0 ,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__Oligoflexus;s__Oligoflexus_sp004193325_[location=606..1566]_[ssu_len=961]_[contig_len=1566],0.888,6233,279.612021,5757044,5.9 ,0.5,6106
ASV_21402,GCF_011058215.1,90.6 ,2.4,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia;s__Devosia_aurantiaca_[location=145622..147100]_[ssu_len=1479]_[contig_len=156357],0.886,1130649,264.4822592,3692966,4.0 ,0.62,4143
ASV_32013,GCA_019636915.1,90.7 ,5.49,99.7 ,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_F;s__Nitrospira_F_sp019636915_[location=2355..3886]_[ssu_len=1532]_[contig_len=4156],0.862,16717,273.6255425,4595156,4.8 ,0.55,4839
ASV_12744,GCA_016710985.1,90.7 ,4.53,100.0 ,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__JAGPCH01;s__JAGPCH01_sp016710985_[location=17566..19083]_[ssu_len=1518]_[contig_len=154575],0.815,154575,267.7925542,5303442,5.6 ,0.36,5399
ASV_622,GCA_000467045.1,90.7 ,2.41,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_parafulva_A_[location=3704..5236]_[ssu_len=1533]_[contig_len=44967],0.865,45906,245.93186,5064759,5.4 ,0.63,5973
ASV_11535,GCA_004556555.1,90.7 ,0.31,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus_sp004557565_[location=9565..10916]_[ssu_len=1352]_[contig_len=10924],0.864,17988,327.9767538,2739117,3.0 ,0.48,2409
ASV_8828,GCA_021802825.1,90.8 ,4.44,100.0 ,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CAIXZV01;s__CAIXZV01_sp021802825_[location=3095..4582]_[ssu_len=1488]_[contig_len=21189],0.884,59781,309.7217925,3933281,4.1 ,0.72,3749
ASV_16203,GCA_002424785.1,90.8 ,2.2,99.5 ,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__UBA4064;s__UBA4064_sp002382065_[location=4..978]_[ssu_len=975]_[contig_len=10860],0.865,26556,295.3455577,4675905,5.0 ,0.5,4581
ASV_10597,GCF_000333615.1,90.8 ,2.36,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ideonella;s__Ideonella_sp000333615_[location=251..1776]_[ssu_len=1526]_[contig_len=5629],0.907,15136,299.5347347,4936752,5.3 ,0.69,4995
ASV_20519,GCA_016707915.1,90.8 ,6.15,99.5 ,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__JAEUSI01;s__JAEUSI01_sp016709315_[location=63963..65480]_[ssu_len=1518]_[contig_len=140489],0.834,208330,287.5484784,4373194,4.5 ,0.35,4239
ASV_8864,GCF_001866005.1,90.9 ,5.92,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Anaerobacillaceae;g__Anaerobacillus;s__Anaerobacillus_alkalilacustris_[location=288067..289413]_[ssu_len=1347]_[contig_len=818671],0.793,262426,285.0364556,4047432,4.2 ,0.35,3758
ASV_13398,GCA_916438895.1,90.9 ,4.82,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus_sp900759325_[location=172964..174504]_[ssu_len=1541]_[contig_len=1949781],0.831,1949781,235.6849196,1949781,2.0 ,0.37,2301
ASV_5680,GCA_018366175.1,90.9 ,1.41,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_amycolatum_A_[location=406..1926]_[ssu_len=1521]_[contig_len=5641],0.885,9174,311.2364898,2124981,2.3 ,0.59,2017
ASV_7587,GCA_003481285.1,91.0 ,1.49,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_wexlerae_[location=2..686]_[ssu_len=685]_[contig_len=687],0.852,70380,277.3121099,3897033,4.2 ,0.41,4005
ASV_8342,GCF_004005905.1,91.0 ,0.24,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium_umbonatum_[location=3..1294]_[ssu_len=1292]_[contig_len=4137],0.907,257316,338.86289,4088502,4.5 ,0.61,3654
ASV_11231,GCA_002296655.1,91.0 ,0.07,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_sp002296655_[location=52917..54449]_[ssu_len=1533]_[contig_len=54494],0.852,54494,293.6008475,2436338,2.7 ,0.41,2360
ASV_3231,GCA_016710095.1,91.0 ,0.38,99.7 ,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__CAIXRL01;s__CAIXRL01_sp016710095_[location=125025..126579]_[ssu_len=1555]_[contig_len=186356],0.893,132391,350.4626506,4382438,4.8 ,0.7,3735
ASV_914,GCA_018242505.1,91.0 ,1.99,99.5 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella_sp018242505_[location=137275..138242]_[ssu_len=968]_[contig_len=138250],0.9,117928,304.1235798,5786682,6.2 ,0.64,5721
ASV_8151,GCA_017850055.1,91.0 ,0.12,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_accolens_[location=380..1895]_[ssu_len=1516]_[contig_len=5777],0.895,58688,311.8771769,2278072,2.5 ,0.59,2182
ASV_6953,GCA_017643025.1,91.2 ,0.1,99.2 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__RCIO01;s__RCIO01_sp017643025_[location=663955..665438]_[ssu_len=1484]_[contig_len=666286],0.918,656464,314.3225064,4011874,4.4 ,0.64,3910
ASV_31616,GCA_903897505.1,91.2 ,0.58,99.5 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__CAINVV01;s__CAINVV01_sp903854235_[location=14512..16025]_[ssu_len=1514]_[contig_len=16661],0.901,14295,347.387361,3948258,4.3 ,0.46,3418
ASV_265,GCA_013815355.1,91.2 ,2.39,100.0 ,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__Palsa-744_sp013815355_[location=20572..21828]_[ssu_len=1257]_[contig_len=21828],0.899,15217,284.5228081,3199244,3.4 ,0.69,3376
ASV_25426,GCA_013820745.1,91.2 ,0.39,100.0 ,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__GCA-002050365;s__GCA-002050365_sp002050365_[location=89218..90427]_[ssu_len=1210]_[contig_len=90427],0.878,45930,295.112462,4637274,5.1 ,0.45,4606
ASV_23498,GCA_016709045.1,91.3 ,1.4,99.5 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008_sp016719815_[location=315244..316769]_[ssu_len=1526]_[contig_len=390378],0.873,376873,278.2652559,3873111,4.2 ,0.41,4064
ASV_10523,GCA_017850295.1,91.3 ,0.69,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_faecis_[location=4..1532]_[ssu_len=1529]_[contig_len=1543],0.868,22312,313.4991776,3944663,4.3 ,0.42,3648
ASV_546,GCA_021155985.1,91.3 ,1.29,100.0 ,d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JAJNBA01;s__JAJNBA01_sp021155985_[location=2..947]_[ssu_len=946]_[contig_len=20141],0.924,30626,294.5778571,2671657,2.9 ,0.69,2800
ASV_21755,GCA_008017315.1,91.3 ,1.43,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_sp008017315_[location=3685..5211]_[ssu_len=1527]_[contig_len=5751],0.892,23569,303.1472637,2045996,2.2 ,0.42,2010
ASV_8628,GCA_023393335.1,91.4 ,4.99,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceibacterium;s__Croceibacterium_sp023433305_[location=2501..4009]_[ssu_len=1509]_[contig_len=190012],0.918,277344,314.4758779,3123937,3.2 ,0.66,3047
ASV_6805,GCA_018242085.1,91.4 ,2.2,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__Rhizomicrobium_sp018242085_[location=1872..3354]_[ssu_len=1483]_[contig_len=3535],0.908,5918,256.0306456,2836980,3.0 ,0.63,3361
ASV_4425,GCA_004010275.1,91.4 ,0.43,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_huasconensis_[location=269..1792]_[ssu_len=1524]_[contig_len=2179],0.831,37068,255.0377519,8580596,9.3 ,0.72,9377
ASV_2835,GCA_001766905.1,91.4 ,0.39,99.5 ,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16_sp001766905_[location=5360..6910]_[ssu_len=1551]_[contig_len=26564],0.875,35055,318.5176577,3610782,3.9 ,0.68,3313
ASV_2219,GCA_020028995.1,91.4 ,5.47,99.7 ,d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-1;s__DP-1_sp020027655_[location=2986..3993]_[ssu_len=1008]_[contig_len=3999],0.851,6111,255.7934233,5331597,5.5 ,0.54,5930
ASV_25784,GCA_009691855.1,91.5 ,0.88,99.7 ,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JABFRZ01;s__JABFRZ01_sp009691855_[location=19788..21338]_[ssu_len=1551]_[contig_len=26721],0.911,70782,376.7323495,4284290,4.6 ,0.71,3456
ASV_37035,GCA_023957015.1,91.5 ,0.76,99.7 ,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__UBA6265;s__UBA6265_sp023957015_[location=22..1517]_[ssu_len=1496]_[contig_len=25775],0.89,48879,297.1627989,2842672,3.1 ,0.58,2844
ASV_2908,GCA_002430835.1,91.5 ,1.12,100.0 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_sp002430835_[location=3748..5207]_[ssu_len=1460]_[contig_len=22208],0.898,29639,297.271913,3098378,3.3 ,0.67,3126
ASV_11622,GCA_016464765.1,91.6 ,7.41,100.0 ,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-875;s__Palsa-875_sp003244045_[location=11390..12796]_[ssu_len=1407]_[contig_len=12798],0.898,29679,287.6086575,3274192,3.3 ,0.69,3419
ASV_19758,GCA_945870855.1,91.6 ,2.36,100.0 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Luteolibacter;s__Luteolibacter_sp945870855_[location=3..1027]_[ssu_len=1025]_[contig_len=50392],0.899,50882,328.7843497,2981364,3.2 ,0.57,2722
ASV_32489,GCF_013466985.1,91.7 ,0.77,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_ungokensis_[location=812177..813692]_[ssu_len=1516]_[contig_len=4624782],0.879,4624782,279.6836042,4624782,5.0 ,0.72,4861
ASV_4994,GCA_021779795.1,91.7 ,0.82,99.7 ,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299_sp021779795_[location=6575..8125]_[ssu_len=1551]_[contig_len=16260],0.905,7990,320.707021,3234140,3.5 ,0.71,3048
ASV_20916,GCA_016720985.1,91.8 ,3.73,99.2 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__Propionivibrio_dominans_[location=133901..135438]_[ssu_len=1538]_[contig_len=280188],0.863,97527,290.5743073,3998276,4.2 ,0.59,3970
ASV_2545,GCF_008017755.1,91.8 ,0.59,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__VRTS01;s__VRTS01_sp008017755_[location=3735..5276]_[ssu_len=1542]_[contig_len=5281],0.908,256677,311.6670058,3025752,3.3 ,0.69,2949
ASV_22138,GCA_005893165.1,91.8 ,0.82,99.5 ,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__SZUA-252;f__SZUA-252;g__WS-7;s__WS-7_sp005893165_[location=13861..15320]_[ssu_len=1460]_[contig_len=15886],0.929,23249,335.7865025,2545397,2.7 ,0.67,2356
ASV_16207,GCA_001627265.1,91.8 ,0.02,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_sp001627335_[location=1..922]_[ssu_len=922]_[contig_len=19670],0.909,52783,311.0791307,3675925,4.0 ,0.72,3589
ASV_19074,GCA_017882055.1,91.8 ,4.45,100.0 ,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Fen-1058;f__Fen-1058;g__JADGQE01;s__JADGQE01_sp017882055_[location=5..974]_[ssu_len=970]_[contig_len=8468],0.88,9336,293.8437583,3756089,3.9 ,0.58,3757
ASV_26693,GCA_005881825.1,91.8 ,2.7,99.7 ,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CF-28;s__CF-28_sp005881825_[location=2558..4069]_[ssu_len=1512]_[contig_len=43208],0.929,33992,280.2610465,3094392,3.3 ,0.7,3440
ASV_3766,GCF_008274655.1,91.9 ,1.44,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter_lacus_[location=310..1845]_[ssu_len=1536]_[contig_len=5579],0.894,16358,294.6106501,2855702,3.1 ,0.68,2892
ASV_503,GCA_000710145.1,91.9 ,1.89,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas_tsuruhatensis_[location=173..1702]_[ssu_len=1530]_[contig_len=5482],0.865,96719,263.3767298,6752712,7.2 ,0.66,7443
ASV_5500,GCA_024641855.1,91.9 ,0.72,99.7 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__RBG-16-58-11_sp024641855_[location=1..1344]_[ssu_len=1344]_[contig_len=10292],0.908,27469,306.2437401,3187682,3.4 ,0.52,3155
ASV_903,GCA_918741305.1,91.9 ,6.54,99.2 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_alcanivorans_[location=11221..12737]_[ssu_len=1517]_[contig_len=60693],0.889,165385,276.4951896,4918204,5.0 ,0.68,5301
ASV_2999,GCA_023264895.1,91.9 ,0.54,100.0 ,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Herbiconiux;s__Herbiconiux_sp023264895_[location=10459..11598]_[ssu_len=1140]_[contig_len=11599],0.923,32273,318.460815,3953348,4.3 ,0.71,3828
ASV_37936,GCA_021785175.1,91.9 ,0.41,99.2 ,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__JAJYNJ01;s__JAJYNJ01_sp021785175_[location=18601..19889]_[ssu_len=1289]_[contig_len=19899],0.883,45415,326.3516169,2702328,2.9 ,0.72,2443
ASV_22875,GCA_016717705.1,92.0 ,2.81,99.2 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-5;g__JADKFD01;s__JADKFD01_sp016717705_[location=62545..64081]_[ssu_len=1537]_[contig_len=183079],0.86,75698,319.9816924,5465566,5.8 ,0.66,4916
ASV_44712,GCA_016708055.1,92.0 ,0.54,99.2 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__ZC4RG30;s__ZC4RG30_sp016720075_[location=54795..56328]_[ssu_len=1534]_[contig_len=134510],0.933,253494,320.9829246,3314024,3.6 ,0.67,3221
ASV_33542,GCA_022722175.1,92.0 ,6.25,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900313215_[location=1..931]_[ssu_len=931]_[contig_len=1031],0.877,16775,321.9718273,4254985,4.3 ,0.45,3869
ASV_28690,GCA_016709305.1,92.0 ,5.47,99.2 ,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__OLB14;s__OLB14_sp016709305_[location=14744..16251]_[ssu_len=1508]_[contig_len=56844],0.89,106336,286.1740337,4851661,5.0 ,0.5,5045
ASV_23909,GCA_016720595.1,92.0 ,6.83,99.2 ,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__JABFXX01_sp016720595_[location=695508..697054]_[ssu_len=1547]_[contig_len=739969],0.915,240236,333.4534095,10125364,10.2 ,0.69,9283
ASV_7669,GCA_023266625.1,92.0 ,4.18,99.7 ,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium_sp023266625_[location=8128..9047]_[ssu_len=920]_[contig_len=9047],0.893,15474,284.8915535,4501058,4.7 ,0.62,4712
ASV_1748,GCA_013816245.1,92.1 ,0.53,100.0 ,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__3-1-20CM-4-69-9_sp013816245_[location=812..2357]_[ssu_len=1546]_[contig_len=8409],0.898,45648,267.0106922,3157001,3.4 ,0.66,3554
ASV_17950,GCA_934541105.1,92.1 ,0.41,99.7 ,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea;s__Luteitalea_sp934541105_[location=1..990]_[ssu_len=990]_[contig_len=354694],0.94,552654,366.4220422,4033206,4.4 ,0.7,3457
ASV_20899,GCA_001768075.1,92.2 ,1.13,99.5 ,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__R267;s__R267_sp001768075_[location=2..1128]_[ssu_len=1127]_[contig_len=9771],0.853,58713,303.6068796,5638481,6.0 ,0.69,5291
ASV_29845,GCA_900290365.1,92.2 ,3.58,100.0 ,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SbD1;s__SbD1_sp900290365_[location=4..907]_[ssu_len=904]_[contig_len=6391],0.855,40576,297.9966465,4665561,4.9 ,0.52,4473
ASV_33128,GCF_000173075.1,92.2 ,1.6,100.0 ,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__Chthoniobacter_flavus_[location=656197..657751]_[ssu_len=1555]_[contig_len=675211],0.883,268902,345.6153731,7848700,8.4 ,0.61,6700
ASV_12503,GCA_024637115.1,92.2 ,1.01,100.0 ,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__OPB41;f__JAGXFU01;g__JAGXFU01;s__JAGXFU01_sp024637115_[location=1..1088]_[ssu_len=1088]_[contig_len=75391],0.924,173376,321.1821461,2307421,2.5 ,0.6,2218
ASV_9564,GCA_003479765.1,92.2 ,2.89,100.0 ,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4_sp000765235_[location=10..1534]_[ssu_len=1525]_[contig_len=5682],0.853,50245,263.8427989,2946554,3.1 ,0.56,3187
